id,Price_euros
181,2111.35
708,767.7346
862,334.60068
1064,1443.3922
702,967.366
585,1394.035
195,2951.0964
463,576.6237
14,3512.0667
621,1769.4475
1259,1295.8115
551,459.52933
358,255.24544
610,573.7394
880,417.9272
655,1598.3976
630,401.42316
483,1884.9102
115,1491.7777
297,1416.7352
1162,1910.3411
666,1143.6847
1278,1643.3447
777,1532.5546
521,1974.5677
93,329.13324
260,875.9983
733,369.3404
908,1111.1461
797,542.35394
71,861.2545
60,1334.3129
608,2100.1045
82,463.1605
540,640.5086
761,1493.2927
473,816.74054
183,698.5612
186,3059.376
846,493.57657
901,570.7813
912,910.38446
27,1109.4364
1127,1909.4751
858,1069.2701
958,2002.3344
771,534.5899
930,3729.6719
807,280.00818
618,1351.4004
250,1170.4811
334,896.72815
180,914.1162
886,298.33832
394,1160.1697
659,703.6864
764,851.93286
428,232.03993
1231,1274.0493
865,1072.0101
1286,1241.6031
635,1283.8691
143,620.29236
376,1267.9795
1032,1199.5367
1057,1465.0992
1089,687.5836
87,2474.5999
1072,508.11417
211,2122.237
1003,949.778
889,2911.6375
1066,1763.5098
1225,1162.7639
146,1482.8507
1044,1176.6548
1105,851.52655
59,472.80246
251,1173.0098
954,1160.8667
948,302.17215
887,2052.3987
369,1834.7439
1148,844.1907
1062,1323.225
1135,1449.7178
1180,2162.7844
620,502.7283
304,1631.9634
1048,637.1471
157,751.4435
1128,423.61685
714,1072.0101
993,989.61536
689,2323.5405
443,425.77057
673,2081.76
975,1011.87195
391,1039.6848
810,682.1862
32,509.80563
724,318.09583
287,1385.2186
857,1080.6632
1087,824.9531
386,743.1866
649,980.24963
1247,898.72516
279,1560.8439
1176,1514.2595
1125,1289.9949
286,749.6029
937,304.1781
508,769.19183
88,1037.6969
446,1438.503
336,883.5982
779,1177.3793
224,681.94104
834,1600.5432
238,459.19168
582,1341.2877
726,903.56006
462,1344.3
863,304.4872
987,1407.5044
1118,2271.478
1151,1742.6387
736,1880.8457
957,982.33997
502,1087.7657
811,1230.7362
898,322.88916
802,1588.3392
265,887.18677
1081,592.28296
104,259.75046
675,2358.0444
1209,1220.3458
1004,599.7926
29,808.76166
432,1743.4369
684,1806.3545
240,1063.5621
237,2839.4556
152,1247.3953
725,1020.0072
97,530.82385
1155,1236.0643
746,1747.4067
1143,844.818
592,749.87415
479,1397.5077
1098,509.23575
903,1194.9053
936,1148.2825
539,2600.8477
653,360.96768
310,404.5383
892,1275.6185
338,2188.2725
705,612.4828
273,1717.1997
758,2455.5662
1080,2120.755
1073,1399.8472
480,1515.4248
1267,2077.3337
545,743.1866
153,413.5813
573,2366.368
1150,3084.7979
949,2707.8115
160,618.85254
537,1955.6049
1102,1513.2188
833,709.4589
513,1217.8829
1202,2975.155
76,1604.515
514,522.9413
133,2140.143
1251,481.27185
806,433.39554
1021,649.6935
206,1717.8131
870,1401.2628
179,869.07263
706,554.58307
416,2022.0955
534,1435.1223
989,932.07666
316,1005.6689
507,1695.5199
817,418.10526
776,1729.8481
831,1857.3331
1229,669.47125
295,1575.4397
660,1191.4
612,700.757
529,1510.7668
114,1151.2765
492,2515.7273
226,953.60034
695,346.5799
751,658.7418
644,534.4472
1185,706.9984
917,2126.3748
527,897.76154
854,636.7117
182,2001.0289
346,931.3514
90,338.6376
468,1262.9908
1147,514.72095
1061,1585.2645
1156,1156.5624
496,775.426
312,2512.1902
822,1071.0653
337,2121.6104
835,1388.2877
255,946.6127
364,2311.5454
944,1950.1982
1266,679.35455
505,489.15356
350,589.85724
800,878.0085
567,924.21826
1242,2326.1487
905,979.6944
587,1083.6165
922,948.92773
